Field	PhpType	Populated	Seen	Example	Residential	Commercial Lease	Income	Commercial Sale	Business Opportunity	Vacant Land	Residential Lease
PropertyAttachedYN	boolean	34	1202	true	0/18	0/3	0/1	0/501	0/199	0/1	34/501
PropertyCondition	array	287	1202	["Completed"]	1/18	0/3	0/1	154/501	51/199	0/1	81/501
PropertySubType	string	1124	1202	Condominium	3/18	0/3	0/1	499/501	121/199	0/1	501/501
PropertyType	string	1202	1202	Residential	3/18	0/3	0/1	500/501	198/199	0/1	501/501
PublicRemarks	string	1202	1202	Welcome to this charming corner-unit 1-bedroom, 1-bath loft-style condo offering character	3/18	0/3	0/1	500/501	198/199	0/1	501/501
PublicSurveyRange	string	518	1202	16	2/18	0/3	0/1	439/501	77/199	0/1	0/501
PublicSurveySection	string	517	1202	32	2/18	0/3	0/1	439/501	76/199	0/1	0/501
PublicSurveyTownship	string	517	1202	29	2/18	0/3	0/1	439/501	76/199	0/1	0/501
PurchaseContractDate	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
RentIncludes	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
RoadFrontageType	array	624	1202	["Highway"]	0/18	0/3	0/1	499/501	88/199	0/1	37/501
RoadResponsibility	array	189	1202	["Public Maintained Road"]	0/18	0/3	0/1	137/501	31/199	0/1	21/501
RoadSurfaceType	array	1026	1202	["Paved"]	3/18	0/3	0/1	490/501	90/199	0/1	443/501
Roof	array	251	1202	["Shingle"]	3/18	0/3	0/1	212/501	34/199	0/1	2/501
RoomType	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
RoomsTotal	integer	436	1202	3	3/18	0/3	0/1	1/501	0/199	0/1	432/501
STELLAR_ActiveOpenHouseCount	integer	7	1202	0	0/18	0/3	0/1	6/501	1/199	0/1	0/501
STELLAR_AdditionalApplicantFee	integer	51	1202	50	0/18	0/3	0/1	0/501	0/199	0/1	51/501
STELLAR_AdditionalLeaseRestrictions	string	3	1202	Confirm all lease restrictions with HOA.	3/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_AdditionalMembershipAvailableYN	boolean	1	1202	false	0/18	0/3	0/1	0/501	0/199	0/1	1/501
STELLAR_AdditionalPetFees	string	34	1202	Pet fee is an additional $150	0/18	0/3	0/1	0/501	0/199	0/1	34/501
STELLAR_AdditionalRooms	array	73	1202	["Florida Room"]	0/18	0/3	0/1	0/501	0/199	0/1	73/501
STELLAR_AdditionalWaterInformation	string	12	1202	Property and building BACK UP to the river but property FRONTS on paved rd. Did have steps	0/18	0/3	0/1	5/501	1/199	0/1	6/501
STELLAR_AdjoiningProperty	array	156	1202	["Residential"]	0/18	0/3	0/1	123/501	33/199	0/1	0/501
STELLAR_AffidavitYN	boolean	1	1202	true	0/18	0/3	0/1	0/501	0/199	0/1	1/501
STELLAR_AlternateKeyFolioNum	string	384	1202	322916106750020308	2/18	0/3	0/1	323/501	59/199	0/1	0/501
STELLAR_AmenitiesAdditionalFees	string	1	1202	GATE,POOL	0/18	0/3	0/1	0/501	0/199	0/1	1/501
STELLAR_AnnualExpenses	integer	28	1202	55000	0/18	0/3	0/1	18/501	10/199	0/1	0/501
STELLAR_AnnualIncomeType	string	48	1202	Actual	0/18	0/3	0/1	32/501	16/199	0/1	0/501
STELLAR_AnnualNetIncome	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_AnnualRent	integer	1	1202	3500	0/18	0/3	0/1	0/501	0/199	0/1	1/501
STELLAR_ApplicationFee	integer	498	1202	100	0/18	0/3	0/1	0/501	0/199	0/1	498/501
STELLAR_ApprovalProcess	string	2	1202	Confirm all lease restrictions with HOA.	2/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_AssociationApplicationFee	integer	3	1202	50	0/18	0/3	0/1	0/501	0/199	0/1	3/501
STELLAR_AssociationApprovalFee	integer	129	1202	214	0/18	0/3	0/1	0/501	0/199	0/1	129/501
STELLAR_AssociationApprovalRequiredYN	boolean	175	1202	true	2/18	0/3	0/1	0/501	0/199	0/1	173/501
STELLAR_AssociationEmail	string	20	1202	Karla Baumann <kscpoa@aol.com>	1/18	0/3	0/1	18/501	1/199	0/1	0/501
STELLAR_AssociationFeeRequirement	string	329	1202	None	2/18	0/3	0/1	1/501	0/199	0/1	326/501
STELLAR_AssociationURL	string	10	1202	https://www.citadelpmg.com/	0/18	0/3	0/1	9/501	1/199	0/1	0/501
STELLAR_AuctionFirmURL	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_AuctionPropAccessYN	boolean	5	1202	false	0/18	0/3	0/1	5/501	0/199	0/1	0/501
STELLAR_AuctionTime	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_AuctionType	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_BOMDate	string	101	1202	2025-08-06T04:00:00.000Z	0/18	0/3	0/1	70/501	20/199	0/1	11/501
STELLAR_BarnFeatures	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_BuilderLicenseNumber	string	2	1202	CBC1260831	0/18	0/3	0/1	0/501	0/199	0/1	2/501
STELLAR_BuildingElevatorYN	boolean	120	1202	false	2/18	0/3	0/1	0/501	0/199	0/1	118/501
STELLAR_BuildingNameNumber	string	328	1202	2142	2/18	0/3	0/1	0/501	0/199	0/1	326/501
STELLAR_BusinessOpportunityWithRealEstateYN	boolean	197	1202	false	0/18	0/3	0/1	0/501	197/199	0/1	0/501
STELLAR_BuyersCountryofResidence	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_BuyersIntendedUse	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_BuyersPremium	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_BuyersZipCode	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_CDDYN	boolean	3	1202	false	3/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_CalculatedListPriceByCalculatedSqFt	double	1094	1202	208.33	3/18	0/3	0/1	500/501	90/199	0/1	501/501
STELLAR_CallCenterPhoneNumber	string	99	1202	3865664966	0/18	0/3	0/1	55/501	12/199	0/1	32/501
STELLAR_CeilingHeight	string	86	1202	8 to 9 Feet	0/18	0/3	0/1	65/501	21/199	0/1	0/501
STELLAR_CeilingType	array	89	1202	["Drywall"]	0/18	0/3	0/1	66/501	23/199	0/1	0/501
STELLAR_CensusBlock	string	227	1202	2	2/18	0/3	0/1	192/501	33/199	0/1	0/501
STELLAR_CensusTract	string	368	1202	024508	2/18	0/3	0/1	308/501	58/199	0/1	0/501
STELLAR_ClosePriceByCalculatedListPriceRatio	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
STELLAR_ClosePriceByCalculatedSqFt	-	0	1202		0/18	0/3	0/1	0/501	0/199	0/1	0/501
