BridgeField	Type	Populated/1224	Example	NativeColumn	OnPropertyCandidate	ImportMapsToForm	ReviewPresenterSection	StellarDetailDisplays	ImportedListingDisplays	Status
AssociationYN	boolean	451	true	association_yn	Y	Y	Community	Y	Y	FULL PARITY
AttachedGarageYN	boolean	272	false	—	N	N	Parking	N	N	REVIEW ONLY (not persisted)
AvailabilityDate	string	503	2019-03-01	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Basement	array	10	["Other"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
BathroomsFull	integer	505	1	—	N	N	N	Y	N	SEARCH ONLY (import loses)
BathroomsHalf	integer	487	0	—	N	N	N	Y	N	SEARCH ONLY (import loses)
BathroomsOneQuarter	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
BathroomsPartial	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
BathroomsThreeQuarter	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
BathroomsTotalDecimal	integer	505	1	—	N	N	N	N	N	RAW-JSON ONLY (never read)
BathroomsTotalInteger	integer	1201	1	bathrooms_total_integer	Y	Y	N	Y	Y	FULL PARITY
BedroomsTotal	integer	505	1	bedrooms_total	Y	Y	N	Y	Y	FULL PARITY
BodyType	array	6	["Double Wide"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
BridgeModificationTimestamp	string	1202	2026-07-29T18:18:04.958Z	—	N	N	N	N	N	RAW-JSON ONLY (never read)
BuilderModel	string	8	Carolina	—	N	N	N	N	N	RAW-JSON ONLY (never read)
BuilderName	string	9	Lennar	—	N	N	N	N	N	RAW-JSON ONLY (never read)
BuildingAreaSource	string	986	Public Records	—	N	N	N	N	N	RAW-JSON ONLY (never read)
BuildingAreaTotal	integer	1007	480	—	Y	Y	N	N	Y	IMPORT ONLY
BuildingAreaUnits	string	1199	Square Feet	—	N	N	N	N	N	RAW-JSON ONLY (never read)
BuildingFeatures	array	196	["Bathrooms","Common Lighting","Dumpsters"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
BusinessName	string	199	NA	—	N	N	N	N	N	RAW-JSON ONLY (never read)
BusinessType	array	211	["Other"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
BuyerAgentAOR	string	3	New Smyrna Beach Board of Realtors	—	N	N	N	N	N	RAW-JSON ONLY (never read)
BuyerAgentFirstName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
BuyerAgentFullName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
BuyerAgentKeyNumeric	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
BuyerAgentLastName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
BuyerAgentMlsId	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
BuyerAgentStateLicense	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
BuyerOfficeKeyNumeric	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
BuyerOfficeMlsId	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
BuyerOfficeName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
BuyerTeamName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CapRate	double	13	5.55	—	N	N	N	N	N	RAW-JSON ONLY (never read)
CarportSpaces	integer	191	1	—	N	N	Parking	Y	N	SEARCH + REVIEW ONLY (import loses)
CarportYN	boolean	491	false	—	N	N	Parking	N	N	REVIEW ONLY (not persisted)
City	string	1196	CLEARWATER	city	Y	Y	N	Y	Y	FULL PARITY
CloseDate	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
ClosePrice	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CoBuyerAgentFirstName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CoBuyerAgentFullName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CoBuyerAgentKeyNumeric	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CoBuyerAgentLastName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CoBuyerAgentMlsId	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CoBuyerAgentStateLicense	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CoBuyerOfficeKeyNumeric	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CoBuyerOfficeMlsId	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CoBuyerOfficeName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CoListAgentFirstName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CoListAgentFullName	string	143	Cindy Costa	—	N	N	N	N	N	RAW-JSON ONLY (never read)
CoListAgentKeyNumeric	integer	143	579242290	—	N	N	N	N	N	RAW-JSON ONLY (never read)
CoListAgentLastName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CoListAgentMlsId	string	143	256501019	—	N	N	N	N	N	RAW-JSON ONLY (never read)
CoListAgentStateLicense	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CoListOfficeKeyNumeric	integer	143	579203010	—	N	N	N	N	N	RAW-JSON ONLY (never read)
CoListOfficeMlsId	string	143	256500277	—	N	N	N	N	N	RAW-JSON ONLY (never read)
CoListOfficeName	string	144	REALTY CENTRAL, INC.	—	N	N	N	N	N	RAW-JSON ONLY (never read)
CommonWalls	array	39	["End Unit"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
CommunityFeatures	array	391	["None"]	—	N	N	Community	Y	N	SEARCH + REVIEW ONLY (import loses)
Concessions	string	20	No	—	N	N	N	N	N	RAW-JSON ONLY (never read)
ConcessionsAmount	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
ConstructionMaterials	array	569	["Block","Stucco"]	—	Y	Y	Exterior	Y	Y	FULL PARITY
ContractStatusChangeDate	string	1202	2026-07-13	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Cooling	array	1093	["Mini-Split Unit(s)"]	—	Y	Y	Interior	Y	Y	FULL PARITY
CoolingYN	boolean	1093	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Coordinates	array	1192	[-82.717138,27.918374]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
CopyrightNotice	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
Country	string	1202	US	—	N	N	N	N	N	RAW-JSON ONLY (never read)
CountyOrParish	string	1191	Pinellas	county_or_parish	Y	Y	N	Y	Y	FULL PARITY
CoveredSpaces	integer	334	2	—	N	N	N	N	N	RAW-JSON ONLY (never read)
CrossStreet	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
CumulativeDaysOnMarket	integer	1202	16	—	N	N	N	N	N	RAW-JSON ONLY (never read)
CurrentUse	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
DOH1	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
DOH2	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
DOH3	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
DaysOnMarket	integer	1202	16	—	N	N	N	Y	N	SEARCH ONLY (import loses)
DirectionFaces	string	193	North	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Directions	string	1137	Travel east on East Bay Drive. Just past US Hwy 19 and turn left at Bradford St. Turn left	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Disclosures	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
DocumentsCount	integer	1202	0	—	N	N	N	N	N	RAW-JSON ONLY (never read)
DoorFeatures	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
Electric	array	70	["100 Amp Service"]	—	N	N	Utilities	N	N	REVIEW ONLY (not persisted)
ElementarySchool	string	69	East Elementary	—	N	N	N	Y	N	SEARCH ONLY (import loses)
Exclusions	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
ExteriorFeatures	array	135	["Sidewalk"]	—	N	N	Exterior	Y	N	SEARCH + REVIEW ONLY (import loses)
FeedTypes	array	1202	["IDX"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Fencing	array	15	["Fenced"]	—	N	N	Exterior	N	N	REVIEW ONLY (not persisted)
FireplaceFeatures	array	9	["Living Room"]	—	N	N	Interior	Y	N	SEARCH + REVIEW ONLY (import loses)
FireplaceYN	boolean	122	false	—	N	N	Interior	Y	N	SEARCH + REVIEW ONLY (import loses)
FireplacesTotal	-	0		—	N	N	Interior	N	N	NOT POPULATED IN SAMPLE
Flooring	array	351	["Laminate"]	—	Y	Y	Interior	Y	Y	FULL PARITY
FoundationDetails	array	557	["Slab"]	—	Y	Y	Exterior	Y	Y	FULL PARITY
FrontageLength	string	3	Canal: 60	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Furnished	string	504	Unfurnished	—	Y	Y	Interior	N	Y	IMPORT ONLY
GarageSpaces	integer	257	2	—	N	N	Parking	Y	N	SEARCH + REVIEW ONLY (import loses)
GarageYN	boolean	498	false	garage_yn	Y	Y	Parking	Y	Y	FULL PARITY
Gas	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
GreenBuildingVerificationType	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
GreenEnergyEfficient	array	3	["Solar Energy Storage On Site"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
GreenEnergyGeneration	array	6	["Solar"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
GreenIndoorAirQuality	array	4	["No Smoking-Interior Buildg"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
GreenLocation	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
GreenSustainability	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
GreenWaterConservation	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
GrossIncome	integer	22	96000	—	N	N	N	N	N	RAW-JSON ONLY (never read)
GrossScheduledIncome	integer	24	54000	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Heating	array	691	["Central","Other"]	—	Y	Y	Interior	Y	Y	FULL PARITY
HeatingYN	boolean	691	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
HighSchool	string	69	Charlotte High	—	N	N	N	Y	N	SEARCH ONLY (import loses)
HighSchoolDistrict	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
HomeWarrantyYN	boolean	20	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
HorseAmenities	array	1	["Other","Stable(s)"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
IDXParticipationYN	boolean	1202	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
InteriorFeatures	array	467	["Cathedral Ceiling(s)","Open Floorplan","PrimaryBedroom Upstairs","Vaulted Ceiling(s)"]	—	Y	Y	Interior	Y	Y	FULL PARITY
InternetAddressDisplayYN	boolean	1202	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
InternetAutomatedValuationDisplayYN	boolean	1200	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
InternetConsumerCommentYN	boolean	1201	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
InternetEntireListingDisplayYN	boolean	1202	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
LandLeaseAmount	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
LandLeaseYN	boolean	3	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Latitude	double	1192	27.918374	latitude	Y	Y	N	Y	Y	FULL PARITY
LaundryFeatures	array	364	["Laundry Closet"]	—	N	N	Interior	Y	N	SEARCH + REVIEW ONLY (import loses)
LeaseAmountFrequency	string	500	Monthly	—	N	N	N	N	N	RAW-JSON ONLY (never read)
LeaseConsideredYN	boolean	3	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
LeaseTerm	string	216	24 Months	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Levels	array	673	["Two"]	—	N	N	Interior	Y	N	SEARCH + REVIEW ONLY (import loses)
License1	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
License2	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
License3	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
ListAOR	string	1202	Suncoast Tampa	—	N	N	N	N	N	RAW-JSON ONLY (never read)
ListAgentAOR	string	1202	Suncoast Tampa	—	N	N	N	N	N	RAW-JSON ONLY (never read)
ListAgentEmail	string	1202	Abigail@RealEstateMatchmakerClub.com	—	N	N	N	N	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
ListAgentFirstName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
ListAgentFullName	string	1202	Abigail Sweeney	—	N	N	N	N	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
ListAgentKey	string	1202	15c8b5f049e923c990a16e7d51222739	—	N	N	N	N	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
ListAgentLastName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
ListAgentMlsId	string	1202	260036749	—	N	N	N	N	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
ListAgentPreferredPhone	string	1198	727-776-2013	—	N	N	N	N	N	RAW-JSON ONLY (never read)
ListAgentStateLicense	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
ListOfficeKey	string	1202	d853820ecd03b7d8317758bcc438f0c6	—	N	N	N	N	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
ListOfficeMlsId	string	1202	260033704	—	N	N	N	N	N	RAW-JSON ONLY (never read)
ListOfficeName	string	1202	REAL ESTATE MATCHMAKER CLUB	—	N	N	N	Y	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
ListOfficePhone	string	1202	727-776-2013	—	N	N	N	N	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
ListPrice	integer	1202	100000	list_price	Y	Y	N	Y	Y	FULL PARITY
ListTeamName	string	15	The No BS Group	—	N	N	N	N	N	RAW-JSON ONLY (never read)
ListingContractDate	string	1202	2026-07-13	—	N	N	N	N	N	RAW-JSON ONLY (never read)
ListingId	string	1202	TB8528949	listing_id	Y	Y	N	N	Y	IMPORT ONLY
ListingKey	string	1224	e8ea2e5193b25dbab98d77f1e11e070d	listing_key	Y	Y	N	Y	Y	PERMISSION/DISPLAY-RIGHTS RESTRICTION
ListingKeyNumeric	integer	1202	799934446	—	N	N	N	N	N	RAW-JSON ONLY (never read)
ListingTerms	array	359	["Cash","Conventional"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
LivingArea	integer	970	480	living_area	Y	Y	N	Y	Y	FULL PARITY
LivingAreaSource	string	509	Public Records	—	N	N	N	N	N	RAW-JSON ONLY (never read)
LivingAreaUnits	string	1200	Square Feet	—	N	N	N	N	N	RAW-JSON ONLY (never read)
LockBoxLocation	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
LockBoxSerialNumber	string	2	02395278	—	N	N	N	N	N	RAW-JSON ONLY (never read)
LockBoxType	array	2	["SentriLock"]	—	N	N	N	N	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
Longitude	double	1192	-82.717138	longitude	Y	Y	N	Y	Y	FULL PARITY
LotFeatures	array	261	["Central Business District"]	—	N	N	Exterior	N	N	REVIEW ONLY (not persisted)
LotSizeAcres	double	1061	0.8	—	N	N	Exterior	Y	N	SEARCH + REVIEW ONLY (import loses)
LotSizeArea	integer	982	34791	—	N	N	N	N	N	RAW-JSON ONLY (never read)
LotSizeDimensions	string	217	146 x 299	—	N	N	N	N	N	RAW-JSON ONLY (never read)
LotSizeSquareFeet	integer	1064	34791	lot_size_sqft	Y	Y	N	Y	Y	FULL PARITY
LotSizeUnits	string	982	Square Feet	—	N	N	N	N	N	RAW-JSON ONLY (never read)
MLSAreaMajor	string	1202	33760 - Clearwater	—	N	N	Property Details	N	N	REVIEW ONLY (not persisted)
Make	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
MaloneId	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
Media	array	1202	[{"MediaKey":"e8ea2e5193b25dbab98d77f1e11e070d-m1","MediaCategory":"Photo","MediaURL":"htt	—	N	N	N	Y	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
MiddleOrJuniorSchool	string	68	Punta Gorda Middle	—	N	N	N	Y	N	SEARCH ONLY (import loses)
MlsStatus	string	1202	Active	mls_status	Y	Y	N	Y	Y	FULL PARITY
MobileLength	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
MobileWidth	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
Model	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
ModificationTimestamp	string	1202	2026-07-29T18:13:48.823Z	modification_timestamp	Y	N	N	N	N	NORMALIZER CARRIES / IMPORT MAPPER DROPS IT
NetOperatingIncome	integer	1	38000	—	N	N	N	N	N	RAW-JSON ONLY (never read)
NewConstructionYN	boolean	1090	false	new_construction_yn	Y	N	Exterior	Y	N	SEARCH + REVIEW ONLY (import loses)
NumberOfBuildings	integer	548	2	—	N	N	N	N	N	RAW-JSON ONLY (never read)
NumberOfLots	integer	126	2	—	N	N	N	N	N	RAW-JSON ONLY (never read)
NumberOfPads	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
NumberOfSeparateElectricMeters	integer	57	1	—	N	N	N	N	N	RAW-JSON ONLY (never read)
NumberOfSeparateGasMeters	integer	11	1	—	N	N	N	N	N	RAW-JSON ONLY (never read)
NumberOfSeparateWaterMeters	integer	44	1	—	N	N	N	N	N	RAW-JSON ONLY (never read)
NumberOfUnitsLeased	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
NumberOfUnitsTotal	integer	80	30	—	N	N	N	N	N	RAW-JSON ONLY (never read)
OccupantType	string	631	Tenant	—	N	N	N	N	N	RAW-JSON ONLY (never read)
OffMarketDate	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
OffMarketTimestamp	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
OnMarketDate	string	1134	2026-07-13	—	N	N	N	Y	N	SEARCH ONLY (import loses)
OpenParkingSpaces	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
OpenParkingYN	boolean	45	true	—	N	N	Parking	N	N	REVIEW ONLY (not persisted)
OriginalEntryTimestamp	string	1202	2026-07-14T02:07:24.770Z	—	N	N	N	N	N	RAW-JSON ONLY (never read)
OriginalListPrice	integer	1202	100000	—	N	N	N	Y	N	SEARCH ONLY (import loses)
OriginatingSystemKey	string	1202	stellar	—	N	N	N	N	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
OriginatingSystemName	string	1202	Stellar MLS	—	N	N	N	N	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
OtherParking	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
OtherStructures	array	100	["Garage(s)"]	—	N	N	Exterior	Y	N	SEARCH + REVIEW ONLY (import loses)
OwnerPays	array	500	["Cable TV","Electricity","Internet","Laundry","Sewer","Trash Collection","Water"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Ownership	string	699	Fee Simple	—	N	N	N	N	N	RAW-JSON ONLY (never read)
ParcelNumber	string	1089	322916106750020308	—	Y	Y	N	N	Y	IMPORT ONLY
ParkName	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
ParkingFeatures	array	288	["6 to 12 Spaces"]	—	N	N	Parking	Y	N	SEARCH + REVIEW ONLY (import loses)
PatioAndPorchFeatures	array	140	["Covered","Patio","Rear Porch","Screened"]	—	N	N	Exterior	Y	N	SEARCH + REVIEW ONLY (import loses)
PetsAllowed	array	528	["Cats OK","Dogs OK","Size Limit","Yes"]	pets_allowed	Y	N	Community	Y	N	SEARCH + REVIEW ONLY (import loses)
PhotosChangeTimestamp	string	1202	2026-07-14T02:11:03.496Z	—	N	N	N	N	N	RAW-JSON ONLY (never read)
PhotosCount	integer	1202	13	—	N	N	N	N	N	RAW-JSON ONLY (never read)
PoolFeatures	array	205	["In Ground"]	—	N	N	Exterior	Y	N	SEARCH + REVIEW ONLY (import loses)
PoolPrivateYN	boolean	501	false	pool_private_yn	Y	Y	Exterior	Y	Y	FULL PARITY
Possession	array	203	["Close Of Escrow"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
PossibleUse	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
PostalCode	string	1198	33760	postal_code	Y	Y	N	Y	Y	FULL PARITY
PostalCodePlus4	string	741	1909	—	N	N	N	N	N	RAW-JSON ONLY (never read)
PreviousListPrice	integer	418	675000	—	N	N	N	N	N	RAW-JSON ONLY (never read)
PriceChangeTimestamp	string	449	2024-12-08T14:45:14.123Z	—	N	N	N	N	N	RAW-JSON ONLY (never read)
PropertyAttachedYN	boolean	34	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
PropertyCondition	array	287	["Completed"]	—	N	N	Exterior	N	N	REVIEW ONLY (not persisted)
PropertySubType	string	1124	Condominium	property_sub_type	Y	Y	N	Y	Y	FULL PARITY
PropertyType	string	1202	Residential	property_type	Y	Y	N	Y	Y	FULL PARITY
PublicRemarks	string	1202	Welcome to this charming corner-unit 1-bedroom, 1-bath loft-style condo offering character	—	N	N	N	Y	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
PublicSurveyRange	string	518	16	—	N	N	N	N	N	RAW-JSON ONLY (never read)
PublicSurveySection	string	517	32	—	N	N	N	N	N	RAW-JSON ONLY (never read)
PublicSurveyTownship	string	517	29	—	N	N	N	N	N	RAW-JSON ONLY (never read)
PurchaseContractDate	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
RentIncludes	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
RoadFrontageType	array	624	["Highway"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
RoadResponsibility	array	189	["Public Maintained Road"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
RoadSurfaceType	array	1026	["Paved"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
Roof	array	251	["Shingle"]	—	Y	Y	Exterior	Y	Y	FULL PARITY
RoomType	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
RoomsTotal	integer	436	3	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ActiveOpenHouseCount	integer	7	0	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AdditionalApplicantFee	integer	51	50	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AdditionalLeaseRestrictions	string	3	Confirm all lease restrictions with HOA.	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AdditionalMembershipAvailableYN	boolean	1	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AdditionalPetFees	string	34	Pet fee is an additional $150	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AdditionalRooms	array	73	["Florida Room"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AdditionalWaterInformation	string	12	Property and building BACK UP to the river but property FRONTS on paved rd. Did have steps	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AdjoiningProperty	array	156	["Residential"]	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AffidavitYN	boolean	1	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AlternateKeyFolioNum	string	384	322916106750020308	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AmenitiesAdditionalFees	string	1	GATE,POOL	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AnnualExpenses	integer	28	55000	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AnnualIncomeType	string	48	Actual	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AnnualNetIncome	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_AnnualRent	integer	1	3500	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ApplicationFee	integer	498	100	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_ApprovalProcess	string	2	Confirm all lease restrictions with HOA.	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AssociationApplicationFee	integer	3	50	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AssociationApprovalFee	integer	129	214	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AssociationApprovalRequiredYN	boolean	175	true	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AssociationEmail	string	20	Karla Baumann <kscpoa@aol.com>	—	N	N	N	N	N	PERMISSION/DISPLAY-RIGHTS RESTRICTION
STELLAR_AssociationFeeRequirement	string	329	None	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AssociationURL	string	10	https://www.citadelpmg.com/	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AuctionFirmURL	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_AuctionPropAccessYN	boolean	5	false	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_AuctionTime	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_AuctionType	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
STELLAR_BOMDate	string	101	2025-08-06T04:00:00.000Z	—	N	N	N	N	N	RAW-JSON ONLY (never read)
STELLAR_BarnFeatures	-	0		—	N	N	N	N	N	NOT POPULATED IN SAMPLE
